date,nav
1993-01-29,43.94
1993-02-26,44.41
1993-03-31,45.19
1993-04-30,44.03
1993-05-28,45.22
1993-06-30,45.06
1993-07-30,44.84
1993-08-31,46.56
1993-09-30,45.94
1993-10-29,46.84
1993-11-30,46.34
1993-12-31,46.59
1994-01-31,48.22
1994-02-28,46.81
1994-03-31,44.59
1994-04-29,45.09
1994-05-31,45.81
1994-06-30,44.47
1994-07-29,45.91
1994-08-31,47.66
1994-09-30,46.17
1994-10-31,47.48
1994-11-30,45.59
1994-12-30,45.56
1995-01-31,47.09
1995-02-28,49.02
1995-03-31,50.11
1995-04-28,51.59
1995-05-31,53.64
1995-06-30,54.41
1995-07-31,56.16
1995-08-31,56.41
1995-09-29,58.48
1995-10-31,58.31
1995-11-30,60.91
1995-12-29,61.48
1996-01-31,63.67
1996-02-29,63.88
1996-03-29,64.69
1996-04-30,65.39
1996-05-31,66.88
1996-06-28,67.11
1996-07-31,64.09
1996-08-30,65.33
1996-09-30,68.63
1996-10-31,70.84
1996-11-29,76.02
1996-12-31,73.84
1997-01-31,78.41
1997-02-28,79.16
1997-03-31,75.38
1997-04-30,80.09
1997-05-30,85.16
1997-06-30,88.31
1997-07-31,95.31
1997-08-29,90.38
1997-09-30,94.38
1997-10-31,92.06
1997-11-28,95.63
1997-12-31,97.06
1998-01-30,98.31
1998-02-27,105.13
1998-03-31,109.94
1998-04-30,111.34
1998-05-29,109.03
1998-06-30,113.31
1998-07-31,111.78
1998-08-31,96.00
1998-09-30,101.75
1998-10-30,110.00
1998-11-30,116.13
1998-12-31,123.31
1999-01-29,127.66
1999-02-26,123.56
1999-03-31,128.38
1999-04-30,133.25
1999-05-28,130.20
1999-06-30,137.00
1999-07-30,132.75
1999-08-31,132.06
1999-09-30,128.75
1999-10-29,137.00
1999-11-30,139.28
1999-12-31,146.88
2000-01-31,139.56
2000-02-29,137.44
2000-03-31,150.38
2000-04-28,145.09
2000-05-31,142.81
2000-06-30,145.28
2000-07-31,143.00
2000-08-31,152.34
2000-09-29,143.63
2000-10-31,142.95
2000-11-30,132.28
2000-12-29,131.19
2001-01-31,137.02
2001-02-28,123.95
2001-03-30,116.69
2001-04-30,126.66
2001-05-31,125.95
2001-06-29,122.60
2001-07-31,121.35
2001-08-31,114.15
2001-09-28,104.44
2001-10-31,105.80
2001-11-30,114.05
2001-12-31,114.30
2002-01-31,113.18
2002-02-28,111.15
2002-03-28,114.52
2002-04-30,107.86
2002-05-31,107.22
2002-06-28,98.96
2002-07-31,91.16
2002-08-30,91.78
2002-09-30,81.79
2002-10-31,88.52
2002-11-29,93.98
2002-12-31,88.23
2003-01-31,86.06
2003-02-28,84.90
2003-03-31,84.74
2003-04-30,91.91
2003-05-30,96.95
2003-06-30,97.63
2003-07-31,99.39
2003-08-29,101.44
2003-09-30,99.95
2003-10-31,105.30
2003-11-28,106.45
2003-12-31,111.28
2004-01-30,113.48
2004-02-27,115.02
2004-03-31,113.10
2004-04-30,110.96
2004-05-28,112.86
2004-06-30,114.53
2004-07-30,110.84
2004-08-31,111.11
2004-09-30,111.76
2004-10-29,113.20
2004-11-30,117.89
2004-12-31,120.87
2005-01-31,118.16
2005-02-28,120.63
2005-03-31,117.96
2005-04-29,115.75
2005-05-31,119.48
2005-06-30,119.18
2005-07-29,123.74
2005-08-31,122.58
2005-09-30,123.04
2005-10-31,120.13
2005-11-30,125.41
2005-12-30,124.51
2006-01-31,127.50
2006-02-28,128.23
2006-03-31,129.83
2006-04-28,131.47
2006-05-31,127.51
2006-06-30,127.28
2006-07-31,127.85
2006-08-31,130.64
2006-09-29,133.58
2006-10-31,137.79
2006-11-30,140.53
2006-12-29,141.62
2007-01-31,143.75
2007-02-28,140.93
2007-03-30,142.00
2007-04-30,148.29
2007-05-31,153.32
2007-06-29,150.43
2007-07-31,145.72
2007-08-31,147.59
2007-09-28,152.58
2007-10-31,154.65
2007-11-30,148.66
2007-12-31,146.21
2008-01-31,137.37
