date,margin_balance_thousand_ntd
2021-06-07,246356191.0
2021-07-05,289131431.0
2021-08-05,293619248.0
2021-09-06,268328004.0
2021-10-05,253184668.0
2021-11-05,263063087.0
2021-12-06,278462124.0
2022-01-05,283575969.0
2022-02-07,256188672.0
2022-03-07,273849123.0
2022-04-06,265675623.0
2022-05-05,252497763.0
2022-06-06,242845808.0
2022-07-05,193411080.0
2022-08-05,190023702.0
2022-09-05,195241476.0
2022-10-05,177739062.0
2022-11-07,166888209.0
2022-12-05,167705100.0
2023-01-05,166079190.0
2023-02-06,154012577.0
2023-03-06,164044928.0
2023-04-06,169254982.0
2023-05-05,177498431.0
2023-06-05,184274339.0
2023-07-05,199156773.0
2023-08-07,222303892.0
2023-09-05,219908905.0
2023-10-05,230869278.0
2023-11-06,223981913.0
2023-12-05,237793287.0
2024-01-05,249729179.0
2024-02-05,246644806.0
2024-03-05,258584531.0
2024-04-08,282880501.0
2024-05-06,287756411.0
2024-06-05,300628955.0
2024-07-05,326590178.0
2024-08-05,325855465.0
2024-09-05,309735143.0
2024-10-07,317287794.0
2024-11-05,326831775.0
2024-12-05,141438780.0
2025-01-06,327869937.0
2025-02-05,305710045.0
2025-03-05,326111501.0
2025-04-07,298816467.0
2025-05-05,209350024.0
2025-06-05,222950998.0
2025-07-07,223751199.0
2025-08-05,233410441.0
2025-09-05,261541660.0
2025-10-07,281879913.0
2025-11-05,300318118.0
2025-12-05,322826443.0
2026-01-05,346633323.0
2026-02-05,384045976.0
2026-03-05,376616368.0
2026-04-07,384200709.0
2026-05-05,470389635.0
2026-06-05,572635489.0
