date,debit_balance
2023-08-31,689185
2023-09-30,680846
2023-10-31,635276
2023-11-30,660887
2023-12-31,700774
2024-01-31,701975
2024-02-29,742963
2024-03-31,784136
2024-04-30,775464
2024-05-31,809431
2024-06-30,809322
2024-07-31,810835
2024-08-31,797162
2024-09-30,813211
2024-10-31,815369
2024-11-30,890852
2024-12-31,899168
2025-01-31,937253
2025-02-28,918144
2025-03-31,880316
2025-04-30,850558
2025-05-31,920960
2025-06-30,1007961
2025-07-31,1022548
2025-08-31,1059723
2025-09-30,1126494
2025-10-31,1183654
2025-11-30,1214321
2025-12-31,1225597
2026-01-31,1279042
2026-02-28,1253192
2026-03-31,1220922
2026-04-30,1304281
2026-05-31,1415557
