indicator,horizon,n_events,avg_fwd_return,pct_positive,baseline_avg,baseline_pct_positive
殖利率倒掛(10Y-2Y轉負),1m,48,0.847447790154364,62.5,0.8014542810595713,62.593516209476306
殖利率倒掛(10Y-2Y轉負),3m,48,2.544836996535594,68.75,2.404128270674585,69.42355889724311
殖利率倒掛(10Y-2Y轉負),6m,48,5.249485447044954,77.08333333333334,4.855089353142805,74.24242424242425
殖利率倒掛(10Y-2Y轉負),12m,48,8.961977466794261,72.91666666666666,10.05027331979296,78.2051282051282
Sahm_Rule觸發(失業率),1m,58,-0.2562937062150386,53.44827586206896,0.8014542810595713,62.593516209476306
Sahm_Rule觸發(失業率),3m,58,-0.0751267885529186,56.896551724137936,2.404128270674585,69.42355889724311
Sahm_Rule觸發(失業率),6m,58,0.7525039202893556,53.44827586206896,4.855089353142805,74.24242424242425
Sahm_Rule觸發(失業率),12m,58,5.816090147513201,63.793103448275865,10.05027331979296,78.2051282051282
CPI年增率突破5%,1m,23,-0.40678014590787637,52.17391304347826,0.8014542810595713,62.593516209476306
CPI年增率突破5%,3m,23,-2.911206445313803,43.47826086956522,2.404128270674585,69.42355889724311
CPI年增率突破5%,6m,23,-3.5252623463087924,47.82608695652174,4.855089353142805,74.24242424242425
CPI年增率突破5%,12m,23,-0.34414628663176106,47.82608695652174,10.05027331979296,78.2051282051282
M2年增率轉負,1m,15,2.178086963074246,73.33333333333333,0.8014542810595713,62.593516209476306
M2年增率轉負,3m,15,5.723531555465887,86.66666666666667,2.404128270674585,69.42355889724311
M2年增率轉負,6m,15,11.956907464021457,100.0,4.855089353142805,74.24242424242425
M2年增率轉負,12m,15,25.42137754791758,100.0,10.05027331979296,78.2051282051282
VIX突破30,1m,32,1.801731707066582,71.875,0.8014542810595713,62.593516209476306
VIX突破30,3m,32,5.13991623492566,71.875,2.404128270674585,69.42355889724311
VIX突破30,6m,32,11.810157413583111,81.25,4.855089353142805,74.24242424242425
VIX突破30,12m,32,21.584817936987267,87.5,10.05027331979296,78.2051282051282
信用價差(Baa-10Y)年增超過1個百分點,1m,24,0.41437961627808484,58.333333333333336,0.8014542810595713,62.593516209476306
信用價差(Baa-10Y)年增超過1個百分點,3m,24,-0.11241806038816092,54.166666666666664,2.404128270674585,69.42355889724311
信用價差(Baa-10Y)年增超過1個百分點,6m,24,0.07524263959427258,54.166666666666664,4.855089353142805,74.24242424242425
信用價差(Baa-10Y)年增超過1個百分點,12m,24,5.640476309335044,58.333333333333336,10.05027331979296,78.2051282051282
油價年增超過50%,1m,53,-0.23471910809384258,50.943396226415096,0.8014542810595713,62.593516209476306
油價年增超過50%,3m,52,-0.5051949718967146,55.769230769230774,2.404128270674585,69.42355889724311
油價年增超過50%,6m,52,-3.5471114150056446,46.15384615384615,4.855089353142805,74.24242424242425
油價年增超過50%,12m,52,-4.68540194098486,44.230769230769226,10.05027331979296,78.2051282051282
新屋開工年減超過20%,1m,38,0.053182679229551444,60.526315789473685,0.8014542810595713,62.593516209476306
新屋開工年減超過20%,3m,38,0.4054869351958763,63.1578947368421,2.404128270674585,69.42355889724311
新屋開工年減超過20%,6m,38,0.22301219193306895,60.526315789473685,4.855089353142805,74.24242424242425
新屋開工年減超過20%,12m,38,0.8136490804804507,55.26315789473685,10.05027331979296,78.2051282051282
建照年減超過20%,1m,41,-0.11961385953462511,58.536585365853654,0.8014542810595713,62.593516209476306
建照年減超過20%,3m,41,-0.15015536875177155,63.41463414634146,2.404128270674585,69.42355889724311
建照年減超過20%,6m,41,0.31996875009398457,58.536585365853654,4.855089353142805,74.24242424242425
建照年減超過20%,12m,41,-1.375131993949651,51.21951219512195,10.05027331979296,78.2051282051282
房貸利率12月內漲超過1.5個百分點,1m,21,-0.08690005039518135,47.61904761904761,0.8014542810595713,62.593516209476306
房貸利率12月內漲超過1.5個百分點,3m,21,1.7686055020557028,57.14285714285714,2.404128270674585,69.42355889724311
房貸利率12月內漲超過1.5個百分點,6m,21,7.682840618372995,85.71428571428571,4.855089353142805,74.24242424242425
房貸利率12月內漲超過1.5個百分點,12m,21,18.998193133751904,95.23809523809523,10.05027331979296,78.2051282051282
房價(Case-Shiller)年增率轉負,1m,64,0.1264779510025762,53.125,0.8014542810595713,62.593516209476306
房價(Case-Shiller)年增率轉負,3m,64,0.40738260789812697,56.25,2.404128270674585,69.42355889724311
房價(Case-Shiller)年增率轉負,6m,64,0.9302730523692564,56.25,4.855089353142805,74.24242424242425
房價(Case-Shiller)年增率轉負,12m,64,2.9631108211973816,65.625,10.05027331979296,78.2051282051282
